Model ID,Sum,NaTa_t.soma.gNaTa_tbar,Nap_Et2.soma.gNap_Et2bar,K_Pst.soma.gK_Pstbar,K_Tst.soma.gK_Tstbar,SK_E2.soma.gSK_E2bar,SKv3_1.soma.gSKv3_1bar,Ca_HVA.soma.gCa_HVAbar,Ca_LVAst.soma.gCa_LVAstbar,CaDynamics_E2.soma.gamma,CaDynamics_E2.soma.decay,none.soma.g_pas,none.axon.g_pas,none.dend.g_pas,none.apic.g_pas,Im.apic.gImbar,NaTa_t.apic.gNaTa_tbar,SKv3_1.apic.gSKv3_1bar,Ca_HVA.apic.gCa_HVAbar,Ca_LVAst.apic.gCa_LVAstbar,SK_E2.apic.gSK_E2bar,CaDynamics_E2.apic.gamma,CaDynamics_E2.apic.decay
821,4.66,2.39,0.000731,0.00276,0.0637,0.0413,0.654,0.000365,0.00325,0.000607,937,0.0000378,0.0000426,0.0000847,0.0000524,0.000088,0.0225,0.000217,0.000609,0.016,0.00068,6.48E-04,8.90E+01
141,4.67,2.39,0.000731,0.00276,0.0637,0.0413,0.654,0.000365,0.00325,0.000607,937,0.0000378,0.0000426,0.0000847,0.0000524,0.000088,0.0225,0.000212,0.000609,0.016,0.000679,6.48E-04,8.90E+01
423,4.68,2.39,0.00073,0.00276,0.0637,0.0413,0.654,0.000365,0.00326,0.000607,937,0.0000378,0.0000426,0.0000847,0.0000524,0.000088,0.0225,0.000212,0.000609,0.016,0.000679,6.48E-04,8.90E+01
858,4.70,2.51,0.00193,0.0144,0.0815,0.0546,0.69,0.000342,0.00425,0.000561,747,0.0000373,0.0000386,0.0000781,0.0000562,1.17E-04,0.0223,0.000239,0.00085,0.00938,0.000777,6.25E-04,1.16E+02
91,4.71,2.3,0.00036,0.0125,0.0691,0.0412,0.607,0.000343,0.00565,0.000581,983,0.0000374,0.0000362,0.0000861,0.0000536,0.0000875,0.0225,0.000181,0.000769,0.00649,0.00103,5.80E-04,9.87E+01
564,4.72,2.51,0.00193,1.44E-02,0.0815,0.0546,0.69,0.000342,0.00425,0.000561,747,0.0000373,0.0000386,0.0000781,0.0000562,0.000117,0.0223,0.000239,0.00085,0.00939,0.000777,6.27E-04,1.16E+02
106,4.72,2.55,0.000466,0.0102,0.0534,0.0399,0.604,0.000393,0.00293,0.000592,828,0.0000371,0.0000403,0.0000672,0.00005,0.0000988,0.0217,0.000161,0.000602,0.0153,0.000712,5.86E-04,8.12E+01
781,4.74,2.3,0.00036,0.0125,0.0691,0.0412,0.607,0.000343,0.00565,0.000581,983,0.0000374,0.0000362,0.0000861,0.0000536,0.0000875,0.0225,0.000181,0.000769,0.00649,0.00103,5.80E-04,9.87E+01
482,4.78,2.51,0.00193,1.44E-02,0.0816,0.0546,0.69,0.000343,0.00424,0.00056,747,0.0000373,0.0000386,0.0000781,0.0000562,0.000117,0.0223,0.000239,0.00085,0.00938,0.000775,6.25E-04,1.16E+02
252,4.78,2.51,1.93E-03,0.0144,0.0816,0.0546,0.69,0.000343,0.00424,0.00056,747,0.0000373,0.0000386,0.0000781,0.0000562,0.000117,0.0223,0.000239,0.00085,0.00938,0.000775,6.25E-04,1.16E+02
618,4.78,2.51,0.00193,1.44E-02,0.0816,0.0546,0.69,0.000343,0.00424,0.00056,747,0.0000373,0.0000386,0.0000781,0.0000562,0.000117,0.0223,0.000239,0.00085,0.00938,0.000775,6.25E-04,1.16E+02
30,4.81,2.55,0.000466,0.0102,0.0534,0.0399,0.604,0.000393,0.00293,0.000592,826,0.0000371,0.0000403,0.0000672,0.00005,9.88E-05,0.0217,0.000161,0.000602,0.0153,0.000712,5.86E-04,8.08E+01
570,4.82,2.54,0.000175,4.91E-03,0.0647,0.0429,0.663,0.000304,0.00233,0.000591,713,0.0000368,0.0000395,0.0000689,0.0000435,0.000084,0.0217,1.96E-04,0.000736,0.00807,0.00101,6.19E-04,1.26E+02
701,4.82,2.82,0.000625,0.00282,0.0521,0.0489,0.623,0.00034,0.00309,0.000594,815,0.000035,0.0000443,0.0000685,0.0000512,0.000101,0.0216,0.000167,0.000628,0.014,0.000685,5.88E-04,8.58E+01
995,4.82,2.82,0.000625,0.00282,0.0521,0.0489,0.623,0.00034,0.00309,0.000594,815,0.000035,0.0000443,0.0000685,0.0000512,0.000101,0.0216,0.000167,0.000628,0.014,0.000685,5.88E-04,8.58E+01
195,4.83,2.54,0.000175,0.00484,0.0647,0.0429,0.663,0.000304,0.00233,0.000591,713,0.0000368,0.0000395,0.0000689,0.0000435,8.40E-05,0.0217,0.000192,0.000736,0.00807,0.00101,6.15E-04,1.26E+02
868,4.83,2.54,0.000175,0.00484,0.0647,0.0428,0.663,0.000304,0.00233,0.000591,713,0.0000368,0.0000395,0.0000689,0.0000435,0.000084,0.0217,0.000192,0.000736,0.00807,0.00101,6.15E-04,1.26E+02
184,4.85,2.51,0.00193,0.0144,0.0816,0.0546,0.69,0.000342,0.00425,0.000561,747,0.0000373,0.0000386,0.0000781,0.0000562,0.000117,0.0223,0.000239,0.00085,0.00938,0.000777,6.25E-04,1.16E+02
622,4.89,2.43,0.000259,0.00694,0.0744,0.0434,0.58,0.00032,0.00597,0.000654,885,0.0000378,0.0000247,0.0000934,0.0000553,0.000102,0.0221,0.00046,0.000906,0.00636,0.000966,5.77E-04,1.06E+02
