t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
135.2	-65.8989692973	-59.0167923863	-66.6830709792	-66.6074812044	-64.4730489455	-65.4129218206
135.225	-65.8990291254	-59.2452288557	-66.6588578589	-66.6065955204	-64.4710666238	-65.3826007592
135.25	-65.9000785093	-59.4662921398	-66.6335537673	-66.6065306795	-64.467471251	-65.3530460244
135.275	-65.9020623177	-59.6776098214	-66.6063846197	-66.6072402957	-64.4627546081	-65.324325121
135.3	-65.9049292578	-59.8788369932	-66.5773112712	-66.6086574816	-64.4573107008	-65.2964816945
135.325	-65.9086319801	-60.0705555958	-66.5466883459	-66.6103170859	-64.4514487888	-65.2695332223
135.35	-65.9131269982	-60.2535207289	-66.5149986183	-66.6116469631	-64.445115247	-65.243474748
135.375	-65.9183744946	-60.428411264	-66.4827180349	-66.6122254388	-64.4381923423	-65.2182861324
135.4	-65.9243380616	-60.5957818811	-66.4496836137	-66.6121116191	-64.4306303347	-65.1939394528
135.425	-65.9309844122	-60.7560751246	-66.4156323997	-66.6111609982	-64.4224653854	-65.1704047336
135.45	-65.9382830834	-60.9096457437	-66.3800694059	-66.6094112004	-64.4137966262	-65.1476536208
135.475	-65.9462061676	-61.0565940394	-66.3425041575	-66.6068951445	-64.4047480521	-65.1256613308
135.5	-65.954728086	-61.196915837	-66.3026182674	-66.6036103055	-64.3954413689	-65.1044073958
135.525	-65.9638253881	-61.3306453704	-66.2568998247	-66.5995534114	-64.3859840102	-65.0838756705
135.55	-65.9734765612	-61.4579028517	-66.2048428084	-66.594751812	-64.3764670625	-65.0640539444
135.575	-65.9836618383	-61.578884861	-66.1473477523	-66.58927354	-64.3669675274	-65.0449333783
135.6	-65.9943630045	-61.6938376737	-66.0856921904	-66.5832217968	-64.3575515616	-65.0265078968
135.625	-66.0055632078	-61.8030324549	-66.0212217192	-66.5767229724	-64.3482772462	-65.0087736069
135.65	-66.0172481232	-61.9067475507	-65.955030825	-66.5699142137	-64.3391965428	-64.9917282756
135.675	-66.022714712	-62.005257519	-65.8880053519	-66.5629332646	-64.3303565072	-64.9753708794
135.7	-66.0225730072	-62.0988270885	-65.8208528462	-66.5559112822	-64.3217999123	-64.9597012249
135.725	-66.0186753606	-62.1877083205	-65.7541293871	-66.5489683707	-64.313565447	-64.9447196363
135.75	-66.01262978	-62.2721396992	-65.6882650296	-66.5422112536	-64.3056876587	-64.9304267016
135.775	-66.0056215803	-62.3523463109	-65.6235868407	-66.5357324767	-64.2981967994	-64.916823071
135.8	-65.9984788672	-62.4285405791	-65.5603388738	-66.5296106269	-64.2911187012	-64.9039092975
135.825	-65.9917612254	-62.500922987	-65.4986989879	-66.5239111721	-64.2844747659	-64.8916857152
135.85	-65.9858334353	-62.5696825362	-65.438426602	-66.5187129373	-64.2782821021	-64.8801523474
135.875	-65.9809213252	-62.6349970729	-65.3790922165	-66.5140801844	-64.2725538054	-64.8693088406
135.9	-65.9771529228	-62.6970337318	-65.3203647752	-66.5100570164	-64.2672993515	-64.8591544187
135.925	-65.9745884311	-62.7559496382	-65.2620966087	-66.5066696334	-64.2625250595	-64.8496878545
135.95	-65.9732419107	-62.8118928608	-65.204305663	-66.5039296474	-64.2582345826	-64.8356109784
135.975	-65.9730968623	-62.8650035004	-65.1471217903	-66.5018370042	-64.2544293896	-64.8167333676
136.0	-65.9741173384	-62.915414781	-65.090732618	-66.5003825119	-64.2511092102	-64.7943704497
136.025	-65.9762557868	-62.9632540326	-65.0353424076	-66.4995501155	-64.2482724283	-64.7699255911
136.05	-65.9792930847	-63.0086435024	-64.9801537275	-66.4993189649	-64.2459164147	-64.7445400624
136.075	-65.9829373897	-63.0517009726	-64.9245854593	-66.4996652479	-64.2440377983	-64.7190618595
136.1	-65.986932439	-63.0924900212	-64.8685472781	-66.5005637486	-64.2426326809	-64.6940923477
136.125	-65.9911047777	-63.1310305855	-64.8122855187	-66.5019891046	-64.2416968002	-64.6700427789
136.15	-65.9953341017	-63.1673312336	-64.7561926656	-66.5039167652	-64.2411149475	-64.6471833415
136.175	-65.9995178613	-63.2014127252	-64.7006820779	-66.5063236709	-64.2406845194	-64.6256817932
136.2	-66.003560333	-63.2333177793	-64.6461246419	-66.5091886909	-64.2401947296	-64.6056326685
136.225	-66.0073789228	-63.2631114682	-64.5928247328	-66.5124928621	-64.2394821143	-64.5870789072
136.25	-66.010913904	-63.2908771669	-64.5410170903	-66.5162194708	-64.2384500714	-64.5700276784
136.275	-66.0141340095	-63.316711208	-64.4908732665	-66.5203540185	-64.237065562	-64.5544618707
136.3	-66.0170364372	-63.3407178117	-64.4425114939	-66.5248841058	-64.2356619924	-64.5403483868
136.325	-66.0196430215	-63.3630100335	-64.3960069359	-66.5297992635	-64.2341641226	-64.5276440967
136.35	-66.0219943154	-63.3837030819	-64.3514009892	-66.5350907518	-64.2326008013	-64.5163000805
136.375	-66.0241432106	-63.4029091406	-64.3087091785	-66.5407513477	-64.2310319446	-64.5062646219
136.4	-66.0261492083	-63.4207266773	-64.267927602	-66.5467749492	-64.2295281138	-64.497485291
136.425	-66.0280738593	-63.4372323067	-64.2290380699	-66.5531559116	-64.2281594369	-64.4899103597
136.45	-66.0299774695	-63.4524813057	-64.1920121361	-66.5598882582	-64.2269886791	-64.4834897338
136.475	-66.0319169326	-63.4665146551	-64.1571308687	-66.5669650228	-64.2260675686	-64.4781755324
136.5	-66.0339444652	-63.4793676794	-64.1242258835	-66.5743779116	-64.2254357456	-64.4739224147
136.525	-66.03610701	-63.4910768921	-64.0932073555	-66.5821173381	-64.2251215097	-64.4706980336
136.55	-66.0384461009	-63.501683944	-64.064002918	-66.5901727582	-64.2251435395	-64.4684755565
136.575	-66.0409980247	-63.5112369958	-64.0365470367	-66.5985331788	-64.2255129397	-64.4672283753
136.6	-66.0437941597	-63.5197903291	-64.0107779612	-66.6071877114	-64.2262352043	-64.4669280081
136.625	-66.046861402	-63.5274029862	-63.9866365818	-66.6161260707	-64.2273118949	-64.4658041787
136.65	-66.0502226227	-63.5341370231	-63.9640659595	-66.625338963	-64.2287419667	-64.4630079129
136.675	-66.0538971211	-63.5400557492	-63.9429407667	-66.6348183413	-64.2305227601	-64.4584877044
136.7	-66.0579010495	-63.5452221653	-63.9230844861	-66.6445575329	-64.2326507083	-64.4525622869
136.725	-66.0622478029	-63.5496976999	-63.904316788	-66.6545512582	-64.2351218194	-64.4456625358
136.75	-66.0669483657	-63.5535412735	-63.8864875905	-66.6647955664	-64.2379319202	-64.4382093593
136.775	-66.0720116186	-63.5568086777	-63.8694901747	-66.6752871621	-64.2410708162	-64.4305666217
136.8	-66.0774446059	-63.5595522292	-63.8532599008	-66.6860220747	-64.2445168352	-64.4230294414
136.825	-66.0832527683	-63.5618206483	-63.8377661981	-66.6969942617	-64.2482368194	-64.4158274171
136.85	-66.0894401451	-63.5633594218	-63.8229900705	-66.7081947893	-64.2521905135	-64.4091332598
136.875	-66.0960095481	-63.563838694	-63.808902924	-66.7196118503	-64.2563361581	-64.4030726442
136.9	-66.1029627141	-63.5630480876	-63.7954589382	-66.7312314768	-64.2606350623	-64.3977335441
136.925	-66.1103004363	-63.5609364118	-63.782599461	-66.7430386184	-64.2650544093	-64.3931744064
136.95	-66.1180226789	-63.5575743176	-63.7702623591	-66.7550181813	-64.2695684541	-64.3894310069
136.975	-66.1261286783	-63.553103385	-63.7583907776	-66.7671557532	-64.2741585902	-64.3865220388
137.0	-66.1346170307	-63.5476957881	-63.7469389241	-66.7794380344	-64.2788127573	-64.3844535738
137.025	-66.1434857699	-63.5415282515	-63.7358746816	-66.7918530282	-64.2835245391	-64.3832225595
