t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
321.9	-75.8591822242	-76.7895069422	-77.2207557453	-75.1607554107	-75.5604493057	-74.8272106757
321.925	-75.8647748139	-76.7749600518	-77.1923819153	-75.1454662867	-75.5536477849	-74.8072898715
321.95	-75.8705724894	-76.761283401	-77.1659127609	-75.1291893133	-75.5478622146	-74.7879998623
321.975	-75.8765678386	-76.7484760302	-77.141350709	-75.1116282658	-75.542998459	-74.769519703
322.0	-75.8827535572	-76.7365288024	-77.1186721949	-75.0924580941	-75.5389504391	-74.7519912922
322.025	-75.8891224884	-76.7254263401	-77.097834997	-75.0714092842	-75.5356086186	-74.7355245666
322.05	-75.8956676543	-76.7151486147	-77.0787838998	-75.0483264555	-75.5328683251	-74.7202022639
322.075	-75.9012321775	-76.7056722387	-77.0614550293	-75.0231885142	-75.5306362055	-74.7060841802
322.1	-75.9044438246	-76.6969715056	-77.045779143	-74.9960988972	-75.5288341765	-74.6932109097
322.125	-75.9044042661	-76.6890192184	-77.0316841012	-74.9672596087	-75.5274009921	-74.6816070895
322.15	-75.9008153888	-76.6817873423	-77.0190967011	-74.9369402171	-75.5262919362	-74.6712841871
322.175	-75.8938396729	-76.6752475127	-77.0079440187	-74.9054486484	-75.525477255	-74.6622428795
322.2	-75.8839128348	-76.6693714251	-76.9981543719	-74.8731070076	-75.5249398919	-74.6544750721
322.225	-75.8715930401	-76.6641311296	-76.9896579928	-74.8402333269	-75.5246729595	-74.6479656021
322.25	-75.8574615085	-76.6594992479	-76.9823874814	-74.8071288829	-75.5246772531	-74.6426936726
322.275	-75.842065383	-76.6554491299	-76.9762780923	-74.7740701825	-75.5249589888	-74.6386340534
322.3	-75.8258896123	-76.6519549618	-76.9712678985	-74.7413045833	-75.5255278618	-74.6357580845
322.325	-75.8093468357	-76.6489918367	-76.9672978631	-74.7090485849	-75.5263954559	-74.6340345106
322.35	-75.7927775627	-76.6465357952	-76.964311845	-74.677487982	-75.5275739958	-74.6334301748
322.375	-75.776455703	-76.6445638454	-76.962256557	-74.64677924	-75.5290754088	-74.6339105908
322.4	-75.7605964493	-76.6430539643	-76.9610814902	-74.5637525997	-75.5309106556	-74.6354404146
322.425	-75.7453647871	-76.641985088	-76.9607388172	-74.444691896	-75.533089281	-74.6379838318
322.45	-75.7308837034	-76.5942902585	-76.9611832801	-74.3062243371	-75.5356191432	-74.6415048725
322.475	-75.717241638	-76.5138388613	-76.9623720713	-74.1594582772	-75.538503513	-74.6459676678
322.5	-75.7044990013	-76.4152303476	-76.9642647092	-74.0113860247	-75.5417354067	-74.6513366554
322.525	-75.6926937359	-76.3084131973	-76.9668229144	-73.8663450403	-75.5452921176	-74.6575767439
322.55	-75.6818459785	-76.1997214188	-76.9700104857	-73.7269693833	-75.5491329268	-74.6646534431
322.575	-75.6719619171	-76.0930865108	-76.9737931793	-73.5947848781	-75.5532010079	-74.6725329642
322.6	-75.6630369489	-75.9908706291	-76.9781385916	-73.4705894717	-75.5574286479	-74.6811822973
322.625	-75.6550582437	-75.8944098108	-76.9830160449	-73.3547028149	-75.5617440375	-74.6905692679
322.65	-75.6480068105	-75.8043700979	-76.9883964795	-73.2471332635	-75.5660779517	-74.7006625778
322.675	-75.6418591501	-75.7209835039	-76.9942523489	-73.1476909236	-75.5703691819	-74.711431827
322.7	-75.6365885707	-75.6442054811	-77.0005575216	-73.0560645338	-75.5745682064	-74.7228475179
322.725	-75.6321662263	-75.5738203336	-77.0072871881	-72.971873687	-75.5786390659	-74.7348810338
322.75	-75.628561932	-75.5095117558	-77.0144177737	-72.894704056	-75.5825597109	-74.7475045927
322.775	-75.6257447977	-75.450909855	-77.0219268577	-72.8241308344	-75.5863212057	-74.7606911761
322.8	-75.6236837178	-75.3976222437	-77.0297930987	-72.7597339972	-75.5899261886	-74.7744144417
322.825	-75.6223477438	-75.3492543102	-77.037996166	-72.7011078901	-75.5933869337	-74.7886486293
322.85	-75.6217063654	-75.3054221206	-77.0465093824	-72.6478669098	-75.5967232821	-74.8033684744
322.875	-75.6217297172	-75.2657603	-77.0552887426	-72.5996485165	-75.5999606297	-74.8185491394
322.9	-75.6223887281	-75.2299264986	-77.0642664749	-72.5561144487	-75.603128093	-74.8341661714
322.925	-75.623655225	-75.1976035437	-77.0733529043	-72.5169507558	-75.6062569136	-74.8501954911
322.95	-75.6255020002	-75.1685000409	-77.0824449952	-72.4818670766	-75.6093791298	-74.866613411
322.975	-75.6279028516	-75.1423499533	-77.0914376432	-72.4505954607	-75.6125265107	-74.8833966803
323.0	-75.630832601	-75.1189115306	-77.1002341825	-72.42288894	-75.6157297343	-74.9005225492
323.025	-75.6342670956	-75.0979658441	-77.1087540827	-72.3985199865	-75.6190177833	-74.9179688462
323.05	-75.6381831972	-75.079315111	-77.1169372457	-72.3772789495	-75.6224175252	-74.9357140598
323.075	-75.6425587618	-75.0627809305	-77.1247452519	-72.3589725316	-75.6259534466	-74.953737418
323.1	-75.647372612	-75.0259234652	-77.1321603191	-72.343422339	-75.6296475114	-74.9720189608
323.125	-75.6526045047	-74.9671272886	-77.1391828123	-72.3304635269	-75.6335191163	-74.9900723557
323.15	-75.6582350952	-74.891830741	-77.1458280205	-72.319943549	-75.6375851198	-75.0069961177
